No.    랭크,캐릭터 이름,CustomizeLv,체력,KB,속도,공격력,DPS,범위,빈도 F,발생 F  사거리  비용    재생산  특성
035-1,5超激レア,,ネコルガ,Lv 30 + 0,"8,500",5,4,"2,550",933,単体,82,13,140,"4,500",7461010,-150002550005001503000[第1形態][超激レア]
035-2,5超激レア,,ケサランパサラン,Lv 30 + 0,"20,400",1,4,"17,000",898,範囲,568,89,650,"4,500",974610010,対 全敵（メタル 無 魔 使 除く） 100％の確率でふっとばす1000001700000120010003000[第2形態][超激レア][対白][対赤][対黒][対浮][対天使][対エイリアン][対ゾンビ][対古代種][対悪魔]
035-3,5超激レア,,ウルトラケサラン,Lv 30 + 0,"20,400",1,4,"34,000","1,796",範囲,568,89,650,"4,500",974610010,対 全敵（メタル 無 魔 使 除く） 100％の確率でふっとばす対 全敵（メタル 無 魔 使 除く） 100％の確率で60～72F動きを止める2000003400000120020003000[第3形態][最上位形態][超激レア][対白][対赤][対黒][対浮][対天使][対エイリアン][対ゾンビ][対古代種][対悪魔]
043-1,5超激レア,,ネコアイス,Lv 30 + 0,"23,800",3,8,"15,300","2,508",範囲,183,54,325,"3,300",17462010,対 赤い敵 50％の確率で120～144F動きを止める90000153000014009002200[第1形態][超激レア][対赤]
043-2,5超激レア,,ネコアイスクイーン,Lv 30 + 0,"34,000",3,8,"22,100","3,623",範囲,183,54,325,"3,300",17462010,対 赤い敵 50％の確率で120～144F動きを止める1300002210000200013002200[第2形態][超激レア][対赤]
043-3,5超激レア,,ネコアイスクリスタル,Lv 30 + 0,"34,000",3,8,"30,600","5,016",範囲,183,54,425,"3,300",17462010,対 赤い敵 100％の確率で120～144F動きを止める1800003060000200018002200[第3形態][最上位形態][超激レア][対赤]
044-1,5超激レア,,ネコマシン,Lv 30 + 0,"81,600",1,9,"59,500","4,864",範囲,367,168,140,"3,600",19462210,対 赤い敵 エイリアン 打たれ強い（被ダメ 1/4～1/5）3500005950000480035002400[第1形態][超激レア][対赤][対エイリアン]
044-2,5超激レア,,ネコマシン・破,Lv 30 + 0,"102,000",1,9,"94,435","7,719",範囲,367,168,140,"3,600",19462210,対 赤い敵 エイリアン 打たれ強い（被ダメ 1/4～1/5）無効（波動）5555009443500600055552400[第2形態][超激レア][対赤][対エイリアン]
044-3,5超激レア,,ネコマシン・滅,Lv 30 + 0,"153,000",1,15,"94,435","10,611",範囲,267,168,190,"3,600",19462210,対 赤い敵 エイリアン 打たれ強い（被ダメ 1/4～1/5）波動ストッパー5555009443500900055552400[第3形態][最上位形態][超激レア][対赤][対エイリアン]
045-1,5超激レア,,鬼にゃんま,Lv 30 + 0,"37,400",3,12,"28,050","12,375",単体,68,28,180,"3,000",8561120,無効（攻撃力低下）1650002805000220016502000[第1形態][超激レア]
045-2,5超激レア,,鬼神にゃんま,Lv 30 + 0,"49,300",3,12,"38,250","16,875",単体,68,28,180,"3,000",8561120,無効（攻撃力低下）2250003825000290022502000[第2形態][超激レア]
045-3,5超激レア,,獄炎鬼にゃんま,Lv 30 + 0,"66,300",3,12,"63,750","28,125",単体,68,28,180,"3,000",8561120,無効（攻撃力低下）3750006375000390037502000[第3形態][最上位形態][超激レア]
054-1,5超激レア,,エヴァンジェリスト,Lv 30 + 0,"3,400",1,18,"1,020",27,範囲,1140,341,"1,000",499,974610010,対 全敵（メタル 無 魔 使 除く） 100％の確率で150～180F動きを止める600010200020060333[第1形態][超激レア][対白][対赤][対黒][対浮][対天使][対エイリアン][対ゾンビ][対古代種][対悪魔]
054-2,5超激レア,,フィリバスター,Lv 30 + 0,"3,400",1,18,"1,020",27,範囲,1140,341,"1,000",499,974610010,対 全敵（メタル 無 魔 使 除く） 100％の確率で150～180F動きを止める600010200020060333[第2形態][最上位形態][超激レア][対白][対赤][対黒][対浮][対天使][対エイリアン][対ゾンビ][対古代種][対悪魔]
058-1,5超激レア,,ネコシュバリエ,Lv 30 + 0,"22,100",3,7,"3,400",680,単体,150,31,195,"2,250",14461710,20％の確率でクリティカル2000034000013002001500[第1形態][超激レア][対メタル]
058-2,5超激レア,,ネコベルセルク,Lv 30 + 0,"30,600",3,7,"5,100","1,020",範囲,150,31,195,"2,250",14461710,40％の確率でクリティカル3000051000018003001500[第2形態][超激レア][対メタル]
058-3,5超激レア,,ネコパラディン,Lv 30 + 0,"39,100",3,7,"6,800","1,360",範囲,150,31,245,"2,250",14461710,50％の確率でクリティカル無効（ふっとばす）4000068000023004001500[第3形態][最上位形態][超激レア][対メタル]
060-1,5超激レア,,ねこベビー,Lv 30 + 0,"68,000",2,9,"37,400","3,753",範囲,299,60,140,"3,150",15461810,対 浮いてる敵 エイリアン 30％の確率でふっとばす無効（止める）2200003740000400022002100[第1形態][超激レア][対浮][対エイリアン]
