N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"69,900",100,+0.14%,100,"4,172,878","5,969,783",51.26,"11,411,134",14.72,9.99,
2,SK하이닉스,"106,500","3,500",+3.40%,"5,000","775,323","728,002",47.20,"3,104,286",13.32,9.53,
3,NAVER,"408,500","1,500",+0.37%,100,"671,016","164,263",56.65,"336,396",4.06,15.22,
4,LG화학,"832,000","4,000",-0.48%,"5,000","587,328","70,592",47.56,"219,325",22.41,2.93,
5,삼성바이오로직스,"874,000","3,000",+0.34%,"2,500","578,282","66,165",10.64,"39,284",172.73,N/A,
6,카카오,"125,500",0,0.00%,100,"558,928","445,361",30.31,"1,068,147",116.96,2.70,
7,삼성전자우,"65,200","1,200",+1.88%,100,"536,522","822,887",74.29,"1,711,715",13.73,N/A,
8,삼성SDI,"723,000","11,000",-1.50%,"5,000","497,168","68,765",45.23,"255,526",53.57,4.54,
9,현대차,"208,000",0,0.00%,"5,000","444,430","213,668",28.72,"368,805",15.07,2.04,
10,기아,"84,300",800,-0.94%,"5,000","341,721","405,363",35.11,"914,567",9.84,5.05,
11,카카오뱅크,"63,900",800,+1.27%,"5,000","303,589","475,100",5.01,"949,505",206.80,5.08,
12,셀트리온,"205,500","5,000",+2.49%,"1,000","283,456","137,935",20.69,"856,638",48.18,16.68,
13,POSCO,"296,500",500,+0.17%,"5,000","258,509","87,187",54.04,"268,732",6.70,3.61,
14,현대모비스,"253,000","1,000",+0.40%,"5,000","239,827","94,793",34.80,"207,505",10.86,4.66,
15,KB금융,"56,800",200,+0.35%,"5,000","236,179","415,808",68.98,"1,033,637",5.60,8.53,
16,크래프톤,"478,000","8,500",+1.81%,100,"234,012","48,957",6.31,"130,651",41.15,61.86,
17,SK텔레콤,"309,500",0,0.00%,500,"223,026","72,060",43.91,0,11.75,6.44,
18,SK이노베이션,"239,500","3,000",-1.24%,"5,000","221,455","92,466",24.84,"325,215",-49.62,-13.58,
19,삼성물산,"115,000","1,000",+0.88%,100,"214,920","186,887",15.15,"223,997",13.12,3.81,
20,신한지주,"38,300",50,+0.13%,"5,000","197,858","516,600",60.79,"1,315,947",4.96,8.20,
21,LG전자,"120,500",0,0.00%,"5,000","197,196","163,648",29.98,"741,017",14.58,13.23,
22,LG생활건강,"1,200,000","29,000",+2.48%,"5,000","187,418","15,618",44.14,"71,894",25.19,17.92,
23,SK바이오사이언스,"225,000","5,000",-2.17%,500,"172,125","76,500",6.08,"350,692",109.60,13.25,
24,SK,"243,000",0,0.00%,200,"170,976","70,360",19.02,"101,851",15.68,1.11,
25,LG,"92,500","1,300",+1.43%,"5,000","145,503","157,301",33.80,"251,776",5.79,7.50,
26,한국전력,"22,650",50,+0.22%,"5,000","145,405","641,964",14.74,"827,626",12.20,2.91,
27,엔씨소프트,"648,000","21,000",+3.35%,500,"142,262","21,954",44.54,"254,106",34.78,20.83,
28,하이브,"348,500","13,500",+4.03%,500,"136,092","39,051",16.15,"414,696",123.98,12.52,
29,삼성생명,"67,900",600,+0.89%,500,"135,800","200,000",12.56,"189,766",7.75,3.53,
30,하나금융지주,"45,200",200,+0.44%,"5,000","135,709","300,242",68.23,"927,605",4.46,8.96,
31,두산중공업,"24,050",350,-1.43%,"5,000","124,749","518,706",8.88,"11,426,595",-57.13,-37.20,
32,삼성에스디에스,"157,000","4,000",+2.61%,500,"121,483","77,378",11.37,"83,864",18.85,6.71,
33,삼성전기,"158,500",500,-0.31%,"5,000","118,390","74,694",30.89,"385,117",13.82,10.92,
34,SK아이이테크놀로지,"163,000","3,500",-2.10%,"1,000","116,215","71,298",9.26,"487,139",107.17,11.00,
35,S-Oil,"101,500","1,000",-0.98%,"2,500","114,272","112,583",78.40,"143,204",13.05,-13.07,
36,KT&G,"82,000",900,+1.11%,"5,000","112,580","137,292",36.16,"301,215",10.16,13.22,
37,포스코케미칼,"144,500","1,000",-0.69%,500,"111,934","77,463",7.25,"299,384",104.41,2.96,
38,아모레퍼시픽,"191,000","9,500",+5.23%,500,"111,721","58,493",31.74,"472,886",88.63,0.78,
39,삼성화재,"235,000","4,000",+1.73%,500,"111,331","47,375",48.74,"82,128",11.13,4.96,
40,넷마블,"127,000","3,500",+2.83%,100,"109,161","85,954",23.14,"181,785",38.15,6.35,
41,HMM,"26,750",100,+0.38%,"5,000","108,442","405,392",10.23,"2,967,764",16.94,8.93,
42,대한항공,"30,450",0,0.00%,"5,000","105,911","347,821",11.77,"1,041,772",15.85,-7.22,
43,현대중공업,"118,500","1,500",+1.28%,"5,000","105,196","88,773",1.49,"381,733",-10.71,-7.86,
44,고려아연,"528,000","9,000",-1.68%,"5,000","99,634","18,870",18.64,"59,658",13.78,8.37,
45,우리금융지주,"13,350",100,+0.75%,"5,000","97,196","728,061",29.17,"2,293,521",4.67,5.87,
46,기업은행,"11,200",150,+1.36%,"5,000","83,362","744,301",13.34,"1,031,453",4.70,6.44,
47,KT,"30,850",350,+1.15%,"5,000","80,553","261,112",44.12,"652,714",8.81,4.76,
48,롯데케미칼,"228,000","3,500",+1.56%,"5,000","78,148","34,275",25.82,"91,773",6.54,1.22,
49,한온시스템,"14,500",100,+0.69%,100,"77,401","533,800",17.91,"544,452",26.61,5.09,
50,SK바이오팜,"95,200",600,+0.63%,500,"74,554","78,313",6.24,"118,494",-125.93,-135.18,
